|Max Apple|Mean Apple|Max Step|Mean Step|Max Fitness|Mean Fitness
Generation 932|2|0.154|100|14.804|2149.739062976162|105.83383283536672
Generation 933|2|0.12|19|14.6|2149.739062976162|84.22858210083717
Generation 934|2|0.136|15|14.36|2149.8377997990897|91.95746978306447
Generation 935|2|0.144|15|14.402|2149.739062976162|98.20033532460543
Generation 936|2|0.13|15|14.642|2149.8377997990897|86.93481718129138
Generation 937|2|0.148|15|14.626|2149.739062976162|98.12210636660026
Generation 938|2|0.144|15|14.644|2149.739062976162|91.59067084589441
Generation 939|3|0.14|15|14.638|5024.719635813122|94.39036130628806
Generation 940|2|0.122|15|14.692|2149.8377997990897|85.31307294488484
Generation 941|2|0.128|15|14.688|2149.739062976162|86.01907830266141
Generation 942|2|0.13|15|14.788|2149.739062976162|91.64005670990073
Generation 943|2|0.14|15|14.914|2149.739062976162|92.15149471275046
Generation 944|2|0.156|15|14.698|2149.739062976162|109.08860160286044
Generation 945|3|0.142|15|14.792|5024.719635813122|100.12591356603617
Generation 946|2|0.158|15|14.714|2149.739062976162|112.33671947460972
Generation 947|2|0.178|15|14.74|2149.739062976162|113.12739396836612
Generation 948|2|0.104|17|14.778|2149.739062976162|71.89722171018533
Generation 949|2|0.148|15|14.72|2149.739062976162|100.52722638066838
Generation 950|2|0.12|15|14.754|2149.739062976162|77.53857451396966
Generation 951|2|0.126|15|14.744|2149.739062976162|87.34738324465442
Generation 952|2|0.124|15|14.704|2149.739062976162|84.06180075540902
Generation 953|3|0.124|15|14.722|5024.719635813122|93.4020449411786
Generation 954|2|0.13|15|14.758|2149.739062976162|84.77152764337382
Generation 955|2|0.148|15|14.672|2149.739062976162|91.35220015872063
Generation 956|2|0.158|15|14.786|2149.8377997990897|112.41653206133711
Generation 957|2|0.11|19|14.812|2149.739062976162|77.20847371659998
Generation 958|2|0.148|19|14.722|2149.739062976162|95.98134055370092
Generation 959|2|0.142|15|14.664|2149.739062976162|92.93097492628239
Generation 960|2|0.128|100|14.888|2149.739062976162|88.47937166111062
Generation 961|2|0.128|100|14.782|2149.739062976162|88.4130787619199
Generation 962|2|0.136|15|14.896|2149.739062976162|96.99317510362926
Generation 963|2|0.128|19|14.922|2149.739062976162|88.47951857630026
Generation 964|2|0.124|15|14.868|2149.739062976162|84.19194767059867
Generation 965|2|0.166|15|14.804|2149.739062976162|116.37030460625256
Generation 966|2|0.154|100|15.08|2149.739062976162|108.45390124734261
Generation 967|2|0.144|100|14.934|2149.739062976162|98.74857398042441
Generation 968|3|0.156|15|14.718|5024.719635813122|111.75531037829813
Generation 969|2|0.146|15|14.844|2149.739062976162|104.20754880773885
Generation 970|2|0.122|100|15.02|2149.739062976162|81.08636586544343
Generation 971|2|0.122|15|14.88|2149.739062976162|83.19614395203598
Generation 972|2|0.158|15|14.678|2149.739062976162|105.4341381897206
Generation 973|2|0.132|15|14.742|2149.739062976162|94.88029762875266
Generation 974|2|0.114|100|14.984|2149.739062976162|77.05214337378615
Generation 975|2|0.122|15|14.814|2149.739062976162|78.60097215919409
Generation 976|3|0.136|15|14.756|5024.719635813122|97.08898347989668
Generation 977|2|0.144|15|14.77|2149.739062976162|94.03492606661001
Generation 978|2|0.148|100|14.798|2149.739062976162|98.35583460775038
Generation 979|2|0.128|100|15.14|2149.739062976162|86.46512247153562
Generation 980|2|0.142|15|14.736|2149.739062976162|88.43995004863017
Generation 981|2|0.12|15|14.874|2149.739062976162|86.78213402335739
Generation 982|1|0.144|100|14.894|511.42505421866946|87.27759183280182
Generation 983|3|0.158|15|14.728|5024.719635813122|117.14444248374662
Generation 984|3|0.13|15|14.802|5024.719635813122|94.16810240310657
Generation 985|2|0.156|15|14.716|2149.739062976162|104.48982068463305
Generation 986|2|0.132|100|15.304|2149.476355007297|84.04135947248938
Generation 987|3|0.156|100|15.566|5024.719635813122|107.81547030217958
Generation 988|3|0.154|15|14.744|5024.719635813122|113.05856961450671
Generation 989|2|0.13|100|15.014|2149.739062976162|85.03319689189573
Generation 990|1|0.102|100|14.942|511.42505421866946|66.50078594549232
Generation 991|2|0.116|100|15.254|2149.739062976162|85.20091180221081
Generation 992|2|0.13|100|15.466|2149.739062976162|99.19595552183992
Generation 993|2|0.114|100|14.992|2149.986294709256|81.68339991614386
Generation 994|2|0.136|100|14.888|2149.739062976162|87.91255316947756
Generation 995|2|0.134|18|14.7|2149.739062976162|91.26638834632209
Generation 996|2|0.134|15|14.7|2149.739062976162|91.29678207413282
Generation 997|2|0.128|100|14.988|2149.739062976162|88.59071015815445
Generation 998|2|0.138|100|14.878|2149.739062976162|88.89605946775508
Generation 999|2|0.134|15|14.766|2149.739062976162|84.5111175954218
