|Max Apple|Mean Apple|Max Step|Mean Step|Max Fitness|Mean Fitness
Generation 1151|3|0.146|33|15.66|5017.2369705907395|106.96643930402381
Generation 1152|4|0.156|33|14.976|9173.423708485365|132.57369803700513
Generation 1153|3|0.148|33|15.64|5019.2877281163765|117.04962616708535
Generation 1154|3|0.146|33|15.644|5020.270752177687|118.50647661774195
Generation 1155|3|0.14|33|15.824|5005.486447528147|113.11412487106458
Generation 1156|3|0.174|33|15.662|5019.2877281163765|129.95607599480977
Generation 1157|2|0.152|33|15.864|2149.9540739565236|103.03189718574794
Generation 1158|2|0.13|33|15.634|2149.9540739565236|94.28236997821234
Generation 1159|2|0.124|33|15.904|2149.964098556101|89.18906321459586
Generation 1160|2|0.132|33|15.666|2149.475941242983|90.76073451592578
Generation 1161|2|0.118|33|15.562|2149.6181160598485|86.07173501366498
Generation 1162|2|0.162|33|16.0|2149.739062976162|110.33236098274851
Generation 1163|2|0.142|33|15.506|2149.9540739565236|106.97069636114196
Generation 1164|3|0.142|33|15.422|5026.96582588445|111.72203483568505
Generation 1165|3|0.142|33|15.458|5025.506959415782|107.2318676343052
Generation 1166|2|0.146|33|15.444|2149.964098556101|109.00961370736293
Generation 1167|2|0.11|33|15.622|2149.475941242983|82.14062888113948
Generation 1168|3|0.154|33|15.868|5005.486447528147|108.74827210656503
Generation 1169|3|0.17|33|15.708|5008.019294011269|123.49095034571006
Generation 1170|2|0.122|33|15.576|2149.964098556101|90.37635423684583
Generation 1171|3|0.13|33|15.564|5028.82964176195|96.83015287643677
Generation 1172|2|0.13|33|15.594|2149.9540739565236|91.95958518429893
Generation 1173|2|0.142|33|15.654|2149.6181160598485|97.96013190016951
Generation 1174|2|0.138|33|15.66|2149.739062976162|100.58184846324782
Generation 1175|2|0.132|33|15.588|2149.475941242983|95.27894974371745
Generation 1176|3|0.158|33|15.79|5005.486447528147|122.10854098092801
Generation 1177|2|0.16|33|15.99|2149.913226044195|120.72277413877224
Generation 1178|2|0.152|33|16.034|2149.475941242983|107.66899574734074
Generation 1179|3|0.142|33|15.564|5023.896182881493|107.29436247061598
Generation 1180|3|0.13|33|15.96|5008.019294011269|96.93696666862382
Generation 1181|2|0.15|33|15.748|2149.964098556101|113.44507704792643
Generation 1182|3|0.136|33|15.386|5006.763496021078|97.35466103251956
Generation 1183|3|0.154|33|15.872|5023.896182881493|120.15821253057445
Generation 1184|2|0.14|33|15.582|2149.79154254127|106.12563871937779
Generation 1185|2|0.156|33|16.008|2149.913226044195|105.11811619707214
Generation 1186|3|0.148|33|15.882|5016.170998995946|110.40838533372997
Generation 1187|2|0.152|33|15.948|2149.964098556101|107.6910625971209
Generation 1188|3|0.178|33|15.624|5018.2761625849325|134.25539057596288
Generation 1189|3|0.168|43|16.042|5006.763496021078|129.34710352353454
Generation 1190|2|0.18|33|15.716|2149.964098556101|135.04880615329625
Generation 1191|2|0.144|33|15.382|2149.9540739565236|105.76949983203815
Generation 1192|3|0.14|33|15.874|5006.763496021078|106.36306529238072
Generation 1193|2|0.154|33|15.858|2149.9540739565236|110.86096786902257
Generation 1194|3|0.154|33|15.664|5010.465200741229|115.55380152377292
Generation 1195|2|0.144|33|15.444|2149.9540739565236|116.94348407434462
Generation 1196|2|0.134|33|15.166|2149.9540739565236|102.67155939459255
Generation 1197|3|0.13|33|15.6|5006.763496021078|103.54962806554578
Generation 1198|2|0.176|33|15.994|2149.964098556101|133.16176363814657
Generation 1199|2|0.152|33|15.558|2149.475941242983|107.4241472189965
Generation 1200|3|0.17|33|15.744|5016.170998995946|116.82822565789142
Generation 1201|3|0.172|33|16.096|5016.170998995946|129.14012516658974
Generation 1202|2|0.152|37|15.616|2149.9540739565236|116.55106621099938
Generation 1203|2|0.132|33|15.438|2149.739062976162|97.44735036904184
Generation 1204|3|0.128|33|15.53|5026.256363523016|104.99894894188618
Generation 1205|2|0.132|33|15.576|2149.9540739565236|102.09292666489486
Generation 1206|3|0.164|33|15.678|5010.465200741229|120.46644085529363
Generation 1207|2|0.148|33|15.892|2148.9304694062257|103.3358701065709
Generation 1208|3|0.14|33|15.644|5019.2877281163765|106.2831751433816
Generation 1209|3|0.152|33|15.412|5016.170998995946|116.67119490840665
Generation 1210|3|0.166|33|15.528|5023.038198361497|128.15448778045996
Generation 1211|2|0.156|33|15.604|2149.475941242983|113.8631680824531
Generation 1212|3|0.146|46|15.714|5015.079034242259|120.79564169394077
Generation 1213|2|0.132|33|15.904|2149.913226044195|102.2697574746894
Generation 1214|3|0.172|39|15.592|5020.270752177687|126.71176881569392
Generation 1215|3|0.16|39|15.956|5006.763496021078|123.11415760061436
Generation 1216|2|0.128|43|15.484|2149.9540739565236|95.54815678692502
Generation 1217|2|0.138|43|15.632|2149.964098556101|109.5975627741666
Generation 1218|2|0.152|600|16.808|2149.6181160598485|104.94270676908918
Generation 1219|2|0.158|33|15.77|2149.9540739565236|114.99739432661796
Generation 1220|2|0.156|600|17.072|2149.6181160598485|104.78234430084424
Generation 1221|3|0.144|33|15.47|5005.486447528147|110.33977982313989
Generation 1222|2|0.13|33|15.512|2149.890070823094|96.43164322861415
Generation 1223|2|0.164|33|15.984|2149.913226044195|115.88303995816443
Generation 1224|3|0.148|33|15.752|5026.96582588445|108.0277944598014
Generation 1225|2|0.134|33|15.508|2149.9540739565236|93.93825971733078
