|Max Apple|Mean Apple|Max Step|Mean Step|Max Fitness|Mean Fitness
Generation 339|22|5.874|950|186.0|4506001.697859423|64019.63718655283
Generation 340|22|5.36|1000|166.784|4514752.233948183|76783.00618292177
Generation 341|21|4.802|1000|149.504|2385984.175979073|70039.95022308346
Generation 342|20|5.02|1050|159.756|1308164.598984107|49870.23226398531
Generation 343|27|5.492|1000|176.904|134699647.7244115|426787.0985227127
Generation 344|29|4.982|1000|157.692|537435321.6400344|1159761.2790990637
Generation 345|26|5.286|1000|192.096|67553622.5903273|286334.3948026336
Generation 346|24|5.138|950|184.752|17150938.26754908|155486.3136077417
Generation 347|24|5.374|1000|166.772|17157587.887442045|123243.0119491956
Generation 348|23|5.562|1100|176.81|8734427.286839735|108071.61289879853
Generation 349|23|5.588|1000|176.988|8731157.30260227|102376.56531852759
Generation 350|23|6.062|1050|178.4|8737290.039084308|110436.03550268483
Generation 351|24|5.14|1300|154.95|17157252.19053058|129659.77922302848
Generation 352|24|4.858|1100|139.78|17154914.133967046|95346.05492764062
Generation 353|27|5.606|1450|164.894|134615124.53768325|370323.4886121832
Generation 354|24|5.144|1000|165.95|17159186.025798064|134020.2311764571
Generation 355|23|4.614|850|170.384|8739322.163956145|72218.77827856544
Generation 356|24|5.378|1000|179.998|17154972.0504747|125900.23816054258
Generation 357|24|5.128|1100|177.568|17149161.91166153|108319.37979332503
Generation 358|24|4.434|900|154.574|17155778.277508765|127082.84735905245
Generation 359|24|5.072|950|159.926|17150998.943354793|149563.48772061727
Generation 360|23|4.86|1100|148.442|8738619.973500218|75167.36237699229
Generation 361|25|4.884|1000|166.564|33968491.39425092|142680.0586941878
Generation 362|19|4.754|800|161.616|758757.0833487863|39187.323763632536
Generation 363|24|4.714|1000|152.856|17159942.58018347|122307.3799339043
Generation 364|25|5.04|1300|156.654|33968253.23532608|160018.58026444702
Generation 365|24|5.05|1050|158.214|17156348.814109642|99780.15737405216
Generation 366|25|4.886|1250|165.736|33960254.78706477|147596.858820929
Generation 367|25|5.106|1250|143.81|33972360.98788229|273459.0731573935
Generation 368|22|5.816|1100|165.576|4510843.980573138|99548.78908331669
Generation 369|22|4.722|1000|145.786|4512599.375842875|64402.09885304229
Generation 370|26|4.718|1050|138.608|67555917.53622553|297877.05297831784
Generation 371|25|4.966|1150|156.27|33970426.21232658|197943.1185910169
Generation 372|26|5.804|1050|158.702|67555917.53622553|320534.0713832343
Generation 373|27|4.952|1000|152.108|134703745.1743491|374484.2322487386
Generation 374|21|5.048|1100|141.488|2386384.4415295827|70548.79676234532
Generation 375|25|5.452|1050|159.096|33967353.36308523|167724.2714134077
Generation 376|25|5.494|950|176.032|33967111.61500628|133112.1014959705
Generation 377|27|5.9|1050|187.28|134700273.1701087|574525.3700063896
Generation 378|25|5.538|1050|187.92|33969670.49685446|238559.7344120499
Generation 379|25|5.228|950|170.08|33973084.10568475|262996.7782788998
Generation 380|25|5.118|1000|154.982|33963840.468946345|177402.6533292392
Generation 381|22|4.526|1200|158.752|4457367.579361187|63874.83518184145
Generation 382|24|4.764|1000|152.626|17157643.671770312|110199.8215247204
Generation 383|21|4.634|1050|161.204|2385625.2438266557|55068.70929003894
Generation 384|21|4.088|700|139.342|2388785.592006173|37036.56799937202
Generation 385|23|3.82|950|135.874|8731496.211353958|77316.86161382265
Generation 386|25|4.78|1050|163.774|33964091.63142908|167508.55435295892
Generation 387|25|4.202|1050|149.31|33967954.46023425|134115.7211798598
Generation 388|26|4.398|1000|152.606|67554547.17737964|289119.28683819255
Generation 389|25|4.742|1000|143.704|33966198.50891447|177674.69472385937
Generation 390|28|4.616|1100|145.63|268943765.45834607|868210.4679537889
Generation 391|27|4.31|1200|145.954|134694223.78249213|581576.4352056666
Generation 392|26|4.99|1150|156.106|67554809.74111696|271034.8743067732
Generation 393|30|4.318|1050|143.786|1074345436.6400554|2281209.879366733
Generation 394|23|5.384|1050|161.57|8726629.278451594|102699.60668528774
Generation 395|25|4.674|1000|157.108|33965460.70741449|224779.09047030026
Generation 396|29|4.944|1250|172.106|537432693.3058534|1180347.239523559
Generation 397|27|5.058|1250|171.92|134698385.82154673|674417.9126575928
Generation 398|28|5.058|1050|168.654|268961653.347769|754276.1346292425
Generation 399|25|5.678|1050|171.268|33967594.36570982|236799.2684752343
Generation 400|24|4.806|1100|156.106|17149223.69720508|126176.96919640662
Generation 401|25|5.128|750|153.438|33963966.1352421|186247.8571335981
Generation 402|24|5.594|1050|164.974|17152622.21390383|158689.8334618002
Generation 403|24|5.55|950|166.31|17160317.07291032|177957.57569455373
Generation 404|23|5.622|1200|169.752|8735662.580221472|152762.36056351583
Generation 405|26|6.014|1200|169.05|67558784.26994804|469379.76278460224
Generation 406|27|5.868|1050|167.94|134704411.01269466|520934.47774064087
Generation 407|26|5.782|950|146.936|67556562.95045476|515812.93713073863
Generation 408|30|5.558|1100|160.118|1074333837.330776|2329121.187196683
Generation 409|25|6.426|1000|179.594|33968491.39425092|278268.45983035816
